profile_id,strategy_id,scenario_id,first_breach_month,breach_reason,liquid_savings_at_breach,investment_value_at_breach,outstanding_home_loan_at_breach,net_worth_at_breach
P001,P001_full_cash,baseline,13,below_emergency_reserve,305000,1288465,0,11593465
P001,P001_full_cash,job_loss_6m,13,below_emergency_reserve,0,1173465,0,11173465
P001,P001_full_cash,market_crash,13,below_emergency_reserve,305000,557218,0,10862218
P001,P001_full_cash,medical_emergency,13,below_emergency_reserve,305000,1288465,0,11593465
P001,P001_full_cash,rate_hike,13,below_emergency_reserve,305000,1288465,0,11593465
P001,P001_full_cash,compound_shock,13,below_emergency_reserve,0,348343,0,10348343
P001,P001_high_down_payment,baseline,,no_breach,,,,
P001,P001_high_down_payment,job_loss_6m,13,emi_affordability_limit,3170656,2437490,4992273,10615873
P001,P001_high_down_payment,market_crash,,no_breach,,,,
P001,P001_high_down_payment,medical_emergency,,no_breach,,,,
P001,P001_high_down_payment,rate_hike,,no_breach,,,,
P001,P001_high_down_payment,compound_shock,13,emi_affordability_limit,3198656,1584368,4992273,9790752
P001,P001_balanced_hybrid,baseline,,no_breach,,,,
P001,P001_balanced_hybrid,job_loss_6m,13,emi_affordability_limit,5420152,2437490,7493421,10364221
P001,P001_balanced_hybrid,market_crash,,no_breach,,,,
P001,P001_balanced_hybrid,medical_emergency,,no_breach,,,,
P001,P001_balanced_hybrid,rate_hike,,no_breach,,,,
P001,P001_balanced_hybrid,compound_shock,13,emi_affordability_limit,5448152,1584368,7493421,9539100
P001,P001_delay_build,baseline,,no_breach,,,,
P001,P001_delay_build,job_loss_6m,13,emi_affordability_limit,7998264,2437490,6500000,3935754
P001,P001_delay_build,market_crash,,no_breach,,,,
P001,P001_delay_build,medical_emergency,,no_breach,,,,
P001,P001_delay_build,rate_hike,,no_breach,,,,
P001,P001_delay_build,compound_shock,13,emi_affordability_limit,8026264,1584368,6500000,3110633
P002,P002_full_cash,baseline,1,below_emergency_reserve,272000,0,0,10272000
P002,P002_full_cash,job_loss_6m,1,below_emergency_reserve,272000,0,0,10272000
P002,P002_full_cash,market_crash,1,below_emergency_reserve,272000,0,0,10272000
P002,P002_full_cash,medical_emergency,1,below_emergency_reserve,272000,0,0,10272000
P002,P002_full_cash,rate_hike,1,below_emergency_reserve,272000,0,0,10272000
P002,P002_full_cash,compound_shock,1,below_emergency_reserve,272000,0,0,10272000
P002,P002_high_down_payment,baseline,1,below_emergency_reserve,227883,0,4992273,5235610
P002,P002_high_down_payment,job_loss_6m,1,below_emergency_reserve,227883,0,4992273,5235610
P002,P002_high_down_payment,market_crash,1,below_emergency_reserve,227883,0,4992273,5235610
P002,P002_high_down_payment,medical_emergency,1,below_emergency_reserve,227883,0,4992273,5235610
P002,P002_high_down_payment,rate_hike,1,below_emergency_reserve,227883,0,4992273,5235610
P002,P002_high_down_payment,compound_shock,1,below_emergency_reserve,227883,0,4992273,5235610
P002,P002_balanced_hybrid,baseline,1,below_emergency_reserve,208602,301750,7493421,3016931
