profile_id,city,monthly_income,monthly_expenses,liquid_savings,investment_value,existing_monthly_emi,risk_tolerance,required_emergency_months,target_purchase_month,home_price,expected_investment_return_annual,max_emi_to_income_ratio
P001,Hyderabad,560000,230000,5200000,2200000,25000,balanced,9,12,10000000,0.095,0.38
P002,Bengaluru,620000,340000,1500000,1300000,8000,conservative,12,0,10000000,0.07,0.32
P003,Pune,530000,355000,1100000,5400000,0,conservative,12,18,10000000,0.07,0.32
P004,Bengaluru,300000,160000,4200000,11000000,12000,balanced,9,6,10000000,0.095,0.38
P005,Bengaluru,460000,190000,2000000,1500000,25000,conservative,12,6,10000000,0.07,0.32
P006,Chennai,250000,155000,7100000,5100000,0,conservative,12,18,10000000,0.07,0.32
P007,Mumbai,560000,285000,8000000,7000000,25000,balanced,9,0,10000000,0.095,0.38
P008,Chennai,550000,225000,3600000,2800000,0,balanced,9,6,10000000,0.095,0.38
P009,Pune,270000,150000,8100000,9800000,8000,balanced,9,6,10000000,0.095,0.38
P010,Hyderabad,640000,425000,7600000,7800000,25000,conservative,12,6,10000000,0.07,0.32
P011,Pune,180000,100000,3300000,2000000,0,balanced,9,24,10000000,0.095,0.38
P012,Hyderabad,390000,210000,7600000,1500000,0,growth,6,6,10000000,0.12,0.44
P013,Delhi NCR,250000,120000,7900000,11000000,8000,balanced,9,18,10000000,0.095,0.38
P014,Pune,280000,115000,5100000,1700000,25000,balanced,9,12,10000000,0.095,0.38
P015,Hyderabad,350000,205000,3200000,4100000,25000,balanced,9,18,10000000,0.095,0.38
P016,Mumbai,450000,205000,5600000,9400000,12000,conservative,12,18,10000000,0.07,0.32
P017,Chennai,170000,100000,7700000,5700000,0,conservative,12,0,10000000,0.07,0.32
P018,Delhi NCR,390000,195000,3700000,10300000,0,balanced,9,18,10000000,0.095,0.38
P019,Pune,580000,315000,2700000,8700000,0,balanced,9,12,10000000,0.095,0.38
P020,Delhi NCR,400000,165000,2800000,10800000,18000,conservative,12,24,10000000,0.07,0.32
P021,Hyderabad,350000,150000,7100000,1300000,0,conservative,12,24,10000000,0.07,0.32
P022,Mumbai,310000,205000,2100000,1700000,12000,balanced,9,24,10000000,0.095,0.38
P023,Pune,260000,115000,1200000,3400000,0,conservative,12,0,10000000,0.07,0.32
P024,Bengaluru,490000,195000,6000000,6700000,25000,balanced,9,0,10000000,0.095,0.38
