strategy_id,profile_id,strategy_code,strategy_name,purchase_month,home_price,down_payment,loan_amount,loan_tenure_years,loan_interest_rate_annual,estimated_monthly_emi
P001_full_cash,P001,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P001_high_down_payment,P001,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P001_balanced_hybrid,P001,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P001_delay_build,P001,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P002_full_cash,P002,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P002_high_down_payment,P002,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P002_balanced_hybrid,P002,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P002_delay_build,P002,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P003_full_cash,P003,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P003_high_down_payment,P003,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P003_balanced_hybrid,P003,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P003_delay_build,P003,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P004_full_cash,P004,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P004_high_down_payment,P004,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P004_balanced_hybrid,P004,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P004_delay_build,P004,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P005_full_cash,P005,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P005_high_down_payment,P005,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P005_balanced_hybrid,P005,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P005_delay_build,P005,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P006_full_cash,P006,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P006_high_down_payment,P006,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P006_balanced_hybrid,P006,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P006_delay_build,P006,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P007_full_cash,P007,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P007_high_down_payment,P007,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P007_balanced_hybrid,P007,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P007_delay_build,P007,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P008_full_cash,P008,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P008_high_down_payment,P008,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P008_balanced_hybrid,P008,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P008_delay_build,P008,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P009_full_cash,P009,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P009_high_down_payment,P009,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P009_balanced_hybrid,P009,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P009_delay_build,P009,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P010_full_cash,P010,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P010_high_down_payment,P010,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P010_balanced_hybrid,P010,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P010_delay_build,P010,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P011_full_cash,P011,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P011_high_down_payment,P011,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P011_balanced_hybrid,P011,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P011_delay_build,P011,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P012_full_cash,P012,full_cash,Full Cash Purchase,6,10000000,10000000,0,0,0,0
P012_high_down_payment,P012,high_down_payment,High Down Payment,6,10000000,5000000,5000000,20,0.0875,44186
P012_balanced_hybrid,P012,balanced_hybrid,Balanced Hybrid,6,10000000,2500000,7500000,25,0.091,63454
P012_delay_build,P012,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P013_full_cash,P013,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P013_high_down_payment,P013,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P013_balanced_hybrid,P013,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P013_delay_build,P013,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P014_full_cash,P014,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P014_high_down_payment,P014,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P014_balanced_hybrid,P014,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P014_delay_build,P014,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P015_full_cash,P015,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P015_high_down_payment,P015,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P015_balanced_hybrid,P015,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P015_delay_build,P015,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P016_full_cash,P016,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P016_high_down_payment,P016,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P016_balanced_hybrid,P016,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P016_delay_build,P016,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P017_full_cash,P017,full_cash,Full Cash Purchase,0,10000000,10000000,0,0,0,0
P017_high_down_payment,P017,high_down_payment,High Down Payment,0,10000000,5000000,5000000,20,0.0875,44186
P017_balanced_hybrid,P017,balanced_hybrid,Balanced Hybrid,0,10000000,2500000,7500000,25,0.091,63454
P017_delay_build,P017,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P018_full_cash,P018,full_cash,Full Cash Purchase,18,10000000,10000000,0,0,0,0
P018_high_down_payment,P018,high_down_payment,High Down Payment,18,10000000,5000000,5000000,20,0.0875,44186
P018_balanced_hybrid,P018,balanced_hybrid,Balanced Hybrid,18,10000000,2500000,7500000,25,0.091,63454
P018_delay_build,P018,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P019_full_cash,P019,full_cash,Full Cash Purchase,12,10000000,10000000,0,0,0,0
P019_high_down_payment,P019,high_down_payment,High Down Payment,12,10000000,5000000,5000000,20,0.0875,44186
P019_balanced_hybrid,P019,balanced_hybrid,Balanced Hybrid,12,10000000,2500000,7500000,25,0.091,63454
P019_delay_build,P019,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P020_full_cash,P020,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P020_high_down_payment,P020,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P020_balanced_hybrid,P020,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P020_delay_build,P020,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P021_full_cash,P021,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P021_high_down_payment,P021,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P021_balanced_hybrid,P021,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P021_delay_build,P021,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
P022_full_cash,P022,full_cash,Full Cash Purchase,24,10000000,10000000,0,0,0,0
P022_high_down_payment,P022,high_down_payment,High Down Payment,24,10000000,5000000,5000000,20,0.0875,44186
P022_balanced_hybrid,P022,balanced_hybrid,Balanced Hybrid,24,10000000,2500000,7500000,25,0.091,63454
P022_delay_build,P022,delay_build,Delay and Build,24,10000000,3500000,6500000,20,0.0875,57441
